PlotIt;Metric;CtNB__No__FF__noLoc;CtNB__No__FF__withLoc;MLP__RM_1_1__PF100__noLoc;MLP__RM_1_1__PF100__withLoc
1;average accuracy score;0.797522511;0.83769143;0.931456287;0.945584914
1;average balanced accuracy score;0.678600962;0.748086857;0.624907277;0.685663599
1;minimum class accuracy;0.413065327;0.563953488;0.144723618;0.290697674
0;overall weighted average sensitivity;0.797522517;0.837691424;0.93145629;0.945584895
1;overall average sensitivity;0.567395347;0.65114659;0.369144715;0.452957049
0;X_Classes weighted average sensitivity;0.646214202;0.71063162;0.309925461;0.382502942
0;X_Classes average sensitivity;0.559102847;0.65790031;0.314711169;0.42247247
0;minimum specificity;0.538096283;0.627436883;0.29839193;0.391068358
0;overall weighted average specificity;0.559781101;0.65834785;0.318306935;0.425702575
1;overall average specificity;0.771223954;0.813766997;0.864725045;0.888119389
0;X_classes weighted average specificity;0.765688087;0.789465277;0.943316343;0.951482878
0;X_classes average specificity;0.798200771;0.838138963;0.935052056;0.948814999
0;precision score;0.991946129;0.992512607;0.990668333;0.991237322
0;f-score;0.881577348;0.905894005;0.959612801;0.967256356
1;ROC AUC score;0.748406733;0.834674197;0.739651451;0.832738613
0;Matthews corr. coeff.;0.061946948;0.087529215;0.068813295;0.105953726
