PlotIt;Metric;PaA__RM_1_1__PF100__withLoc;CtNB__No__FF__withLoc;CpNB__No__FF__withLoc;MLP__RM_1_1__PF100__withLoc
1;average accuracy score;0.872206479;0.83769143;0.822196152;0.945584914
1;average balanced accuracy score;0.718716398;0.748086857;0.732710099;0.685663599
1;minimum class accuracy;0.415116279;0.563953488;0.574418605;0.290697674
0;overall weighted average sensitivity;0.872206484;0.837691424;0.826250991;0.945584895
1;overall average sensitivity;0.563629912;0.65114659;0.658724096;0.452957049
0;X_Classes weighted average sensitivity;0.670772852;0.71063162;0.71612397;0.382502942
0;X_Classes average sensitivity;0.564559356;0.65790031;0.669749938;0.42247247
0;minimum specificity;0.524355963;0.627436883;0.637426399;0.391068358
0;overall weighted average specificity;0.565273826;0.65834785;0.670129191;0.425702575
1;overall average specificity;0.837550993;0.813766997;0.805399136;0.888119389
0;X_classes weighted average specificity;0.796625994;0.789465277;0.782928926;0.951482878
0;X_classes average specificity;0.872920953;0.838138963;0.826630243;0.948814999
0;precision score;0.992278618;0.992512607;0.993017928;0.991237322
0;f-score;0.925321623;0.905894005;0.897178654;0.967256356
1;ROC AUC score;;0.834674197;0.812160027;0.832738613
0;Matthews corr. coeff.;0.087966177;0.087529215;0.077875928;0.105953726
