PlotIt;Metric;CtNB__No__FF;CtNB__RM_1p5_1__PF100;CtNB__RM_1p33_1__PF100;CtNB__RM_1p1_1__PF100;CtNB__RM_1_1__PF100;MLP__No__FF;MLP__RM_1p5_1__PF100;MLP__RM_1p33_1__PF100;MLP__RM_1p1_1__PF100;MLP__RM_1_1__PF100
1;average accuracy score;0.83769143;0.851898858;0.852129151;0.851796855;0.852058347;0.993668654;0.960862266;0.9550445;0.94996883;0.945584914
1;average balanced accuracy score;0.748086857;0.736654425;0.736684311;0.737808829;0.739271037;0.530790738;0.661888565;0.674394565;0.683377636;0.685663599
1;minimum class accuracy;0.563953488;0.544186047;0.538372093;0.526744186;0.536046512;0.012060302;0.248837209;0.276744186;0.294186047;0.290697674
0;overall weighted average sensitivity;0.837691424;0.851898869;0.852129157;0.851796866;0.852058334;0.993668653;0.960862264;0.955044498;0.94996882;0.945584895
1;overall average sensitivity;0.65114659;0.619568732;0.618678478;0.619677759;0.62334508;0.155340343;0.39697475;0.4210826;0.439835786;0.452957049
0;X_Classes weighted average sensitivity;0.71063162;0.694782268;0.696743821;0.695566889;0.695802275;0.079952923;0.313534719;0.367595135;0.36775206;0.382502942
0;X_Classes average sensitivity;0.65790031;0.620798589;0.620567289;0.62316368;0.625913459;0.062725259;0.359109996;0.390427833;0.413493927;0.42247247
0;minimum specificity;0.627436883;0.590020878;0.588981109;0.590158918;0.594266373;0.049789372;0.326136737;0.35392187;0.375752095;0.391068358
0;overall weighted average specificity;0.65834785;0.621374788;0.621132847;0.623735098;0.626484679;0.067927009;0.362818399;0.393762682;0.416836129;0.425702575
1;overall average specificity;0.813766997;0.822668463;0.822746176;0.82288378;0.823371867;0.895078593;0.89668064;0.895094897;0.891745602;0.888119389
0;X_classes weighted average specificity;0.789465277;0.796279157;0.796366361;0.796221639;0.796422126;0.996236331;0.966766496;0.955025703;0.956477916;0.951482878
0;X_classes average specificity;0.838138963;0.852475068;0.852694715;0.852368284;0.852629553;0.998870403;0.964570667;0.958379347;0.953311022;0.948814999
0;precision score;0.992512607;0.992432232;0.992448604;0.992436028;0.992436982;0.99096186;0.990982127;0.991156757;0.991204517;0.991237322
0;f-score;0.905894005;0.914107524;0.914239327;0.914048591;0.914201233;0.99186836;0.975282733;0.972222026;0.969587667;0.967256356
1;ROC AUC score;0.834674197;0.817162629;0.817506274;0.817482329;0.816218034;0.813214923;0.829941775;0.83076661;0.834554671;0.832738613
0;Matthews corr. coeff.;0.087529215;0.087555481;0.087668894;0.088002384;0.088417595;0.14663313;0.107432109;0.108407862;0.108350688;0.105953726
