PlotIt;Metric;MLP__RM_1_1__PF100__thr1;MLP__RM_1_1__PF100__thr2;MLP__RM_1_1__PF100__thr3;MLP__RM_1_1__PF100__thr4;MLP__RM_1_1__PF100__thr5;MLP__RM_1_1__PF100__thr6;MLP__RM_1_1__PF100__thr7;MLP__RM_1_1__PF100__thr8;MLP__RM_1_1__PF100__thr9
1;threshold;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5
1;overall accuracy;0.659927306;0.741454419;0.797926076;0.840299864;0.871943234;0.897773739;0.917898282;0.934855814;0.948673063
1;balanced accuracy;0.656060165;0.65897449;0.646619514;0.638041003;0.634926832;0.634320452;0.622721978;0.606825403;0.592065509
1;minimum accuracy;0.652173913;0.576086957;0.494565217;0.434782609;0.39673913;0.369565217;0.326086957;0.277173913;0.233695652
0;overall sensitivity;0.659927306;0.741454419;0.797926076;0.840299864;0.871943234;0.897773739;0.917898282;0.934855814;0.948673063
0;NoCl sensitivity;0.659946417;0.741862023;0.798673811;0.841299397;0.873114534;0.899075687;0.919356999;0.936476892;0.950435365
0;X_class sensitivity;0.652173913;0.576086957;0.494565217;0.434782609;0.39673913;0.369565217;0.326086957;0.277173913;0.233695652
0;overall specificity;0.652193024;0.57649456;0.495312952;0.435782142;0.397910431;0.370867165;0.327545674;0.278794991;0.235457954
0;NoCl specificity;0.652173913;0.576086957;0.494565217;0.434782609;0.39673913;0.369565217;0.326086957;0.277173913;0.233695652
0;X_class specificity;0.659946417;0.741862023;0.798673811;0.841299397;0.873114534;0.899075687;0.919356999;0.936476892;0.950435365
0;minimum specificity;0.652173913;0.576086957;0.494565217;0.434782609;0.39673913;0.369565217;0.326086957;0.277173913;0.233695652
0;overall precision;0.996258572;0.996151664;0.996002428;0.995908548;0.995864076;0.995842092;0.995766392;0.995673168;0.995590975
0;NoCl precision;0.998702589;0.99859353;0.998442576;0.998346766;0.998299867;0.998274631;0.998196469;0.998101112;0.998016627
0;X_class precision;0.00470496;0.005470685;0.006018519;0.00670747;0.007647983;0.008945014;0.009868421;0.010640517;0.011488111
0;overall NPV;0.007148977;0.007912551;0.008458666;0.009145689;0.010083774;0.011377554;0.012298498;0.013068461;0.013913763
0;NoCl NPV;0.00470496;0.005470685;0.006018519;0.00670747;0.007647983;0.008945014;0.009868421;0.010640517;0.011488111
0;X_class NPV;0.998702589;0.99859353;0.998442576;0.998346766;0.998299867;0.998274631;0.998196469;0.998101112;0.998016627
