PlotIt;Metric;MLP__RM_1_1__PF100__thr1;MLP__RM_1_1__PF100__thr2;MLP__RM_1_1__PF100__thr3;MLP__RM_1_1__PF100__thr4;MLP__RM_1_1__PF100__thr5;MLP__RM_1_1__PF100__thr6;MLP__RM_1_1__PF100__thr7;MLP__RM_1_1__PF100__thr8;MLP__RM_1_1__PF100__thr9
1;threshold;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5
1;overall accuracy;0.741521234;0.801828046;0.840887832;0.86976508;0.892201406;0.909974076;0.925301334;0.937942646;0.94833899
1;balanced accuracy;0.745122847;0.75280388;0.74732721;0.741757424;0.717923408;0.701774802;0.684400229;0.660667375;0.648338362
1;minimum accuracy;0.741501976;0.703517588;0.653266332;0.613065327;0.542713568;0.492462312;0.442211055;0.381909548;0.346733668
0;overall sensitivity;0.741521234;0.801828046;0.840887832;0.86976508;0.892201406;0.909974076;0.925301334;0.937942646;0.94833899
0;NoCl sensitivity;0.741501976;0.802090172;0.841388089;0.870449521;0.893133248;0.911087291;0.926589402;0.939425203;0.949943056
0;X_class sensitivity;0.748743719;0.703517588;0.653266332;0.613065327;0.542713568;0.492462312;0.442211055;0.381909548;0.346733668
0;overall specificity;0.748724461;0.703779714;0.653766589;0.613749768;0.543645411;0.493575527;0.443499123;0.383392104;0.348337734
0;NoCl specificity;0.748743719;0.703517588;0.653266332;0.613065327;0.542713568;0.492462312;0.442211055;0.381909548;0.346733668
0;X_class specificity;0.741501976;0.802090172;0.841388089;0.870449521;0.893133248;0.911087291;0.926589402;0.939425203;0.949943056
0;minimum specificity;0.741501976;0.703517588;0.653266332;0.613065327;0.542713568;0.492462312;0.442211055;0.381909548;0.346733668
0;overall precision;0.996460904;0.99638377;0.996275012;0.996193232;0.996016637;0.995900311;0.995784583;0.995638188;0.995563632
0;NoCl precision;0.999097343;0.999015403;0.998902427;0.998816168;0.998636704;0.998516887;0.998397505;0.998248786;0.998169762
0;X_class precision;0.007663821;0.009389042;0.010862299;0.012460423;0.013359723;0.014553015;0.015807437;0.016532521;0.018134034
0;overall NPV;0.01030026;0.012020675;0.013489715;0.015083359;0.01597979;0.01716959;0.018420359;0.01914312;0.020740164
0;NoCl NPV;0.007663821;0.009389042;0.010862299;0.012460423;0.013359723;0.014553015;0.015807437;0.016532521;0.018134034
0;X_class NPV;0.999097343;0.999015403;0.998902427;0.998816168;0.998636704;0.998516887;0.998397505;0.998248786;0.998169762
