PlotIt;Metric;MLP__RM_1_1__PF100__thr1;MLP__RM_1_1__PF100__thr2;MLP__RM_1_1__PF100__thr3;MLP__RM_1_1__PF100__thr4;MLP__RM_1_1__PF100__thr5;MLP__RM_1_1__PF100__thr6;MLP__RM_1_1__PF100__thr7;MLP__RM_1_1__PF100__thr8;MLP__RM_1_1__PF100__thr9
1;threshold;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5
1;overall accuracy;0.772803806;0.82875431;0.863898763;0.889101211;0.90930593;0.923711147;0.935216613;0.944543924;0.951719807
1;balanced accuracy;0.759155554;0.754746072;0.743942865;0.730481159;0.71022671;0.698513759;0.680777423;0.669194435;0.652576014
1;minimum accuracy;0.744891641;0.677399381;0.618575851;0.564705882;0.502167183;0.463157895;0.414860681;0.381424149;0.33993808
0;overall sensitivity;0.772803806;0.82875431;0.863898763;0.889101211;0.90930593;0.923711147;0.935216613;0.944543924;0.951719807
0;NoCl sensitivity;0.773419468;0.832092763;0.869309879;0.896256436;0.918286237;0.933869624;0.946694164;0.956964722;0.965213947
0;X_class sensitivity;0.744891641;0.677399381;0.618575851;0.564705882;0.502167183;0.463157895;0.414860681;0.381424149;0.33993808
0;overall specificity;0.745507303;0.680737834;0.623986967;0.571861108;0.511147489;0.473316371;0.426338232;0.393844947;0.353432221
0;NoCl specificity;0.744891641;0.677399381;0.618575851;0.564705882;0.502167183;0.463157895;0.414860681;0.381424149;0.33993808
0;X_class specificity;0.773419468;0.832092763;0.869309879;0.896256436;0.918286237;0.933869624;0.946694164;0.956964722;0.965213947
0;minimum specificity;0.744891641;0.677399381;0.618575851;0.564705882;0.502167183;0.463157895;0.414860681;0.381424149;0.33993808
0;overall precision;0.97281102;0.971886396;0.971080673;0.970361828;0.969433473;0.969055951;0.968421205;0.968194169;0.967706841
0;NoCl precision;0.992777125;0.99152101;0.990414838;0.989400838;0.988183422;0.98747906;0.986550149;0.985942843;0.985140372
0;X_class precision;0.067610858;0.081714969;0.094530659;0.10719323;0.119370032;0.133810376;0.146512136;0.163525352;0.177325581
0;overall NPV;0.087576963;0.101349583;0.113864824;0.12623224;0.138119981;0.152233484;0.16464108;0.181274025;0.194759113
0;NoCl NPV;0.067610858;0.081714969;0.094530659;0.10719323;0.119370032;0.133810376;0.146512136;0.163525352;0.177325581
0;X_class NPV;0.992777125;0.99152101;0.990414838;0.989400838;0.988183422;0.98747906;0.986550149;0.985942843;0.985140372
